id,name,lat,lng,yelpstars,lastrating,rats,roaches,slime,fail,cuisine,weight
200031,"POST OAK GRILL EXPRESS",29.7574,-95.3684,5,1,1,1,1,1,,999
200057,"POST OAK GRILL EXPRESS",29.7574,-95.3684,5,1,1,1,1,1,,999
200077,"THE VOLCANO",29.7255,-95.4147,5,1,1,1,1,1,,999
200078,"HOBBIT CAFE'",29.7342,-95.4139,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
200088,"S & M DISTRIBUTOR",29.626,-95.2747,5,1,1,1,1,1,,999
200104,"SUBWAY SANDWICHES",29.7704,-95.4109,5,1,1,1,1,1,,999
200105,"RUGGLES CAFE & BAKERY",29.7175,-95.4143,5,1,1,1,1,1,"BAR & GRILL",999
200106,"COURTESY FOOD STORE",29.8196,-95.4996,5,1,1,1,1,1,CHICKEN,999
200114,"TEXAS LAND & CATTLE CO.",29.6071,-95.2098,5,1,1,1,1,1,"BAR & GRILL",999
200115,CHICK-FIL-A,29.6891,-95.4651,5,1,1,1,1,1,CHICKEN,999
200121,"FOGO DE CHAO",29.7375,-95.5119,5,1,1,1,1,1,,999
200123,"LARRY'S BAR B Q",29.8603,-95.5269,5,5,1,1,1,0,BARBECUE,999
200127,"CHILI'S GRILL & BAR",29.7377,-95.4901,5,1,1,1,1,1,"BAR & GRILL",999
200129,"CHARIVARI REST",29.7489,-95.3789,5,1,1,1,1,1,EUROPEAN,999
200132,"LITTLE WOODROWS IN MIDTOWN",29.7497,-95.377,5,1,1,1,1,1,,999
200141,"SHIPLEY DONUT",29.8452,-95.3845,5,1,1,1,1,1,,999
200142,"OSTIONERIA LAS ROCAS",29.8661,-95.3848,5,4,1,1,1,0,SEAFOOD,999
200143,KOJAK'S,29.8015,-95.4338,5,1,1,1,1,1,DELI,999
200146,"RICHARDS GROCERY STORE",29.7822,-95.4755,5,1,1,1,1,1,,999
200147,"KINGSPOINT MART",29.6184,-95.2302,5,1,1,1,1,1,OTHER,999
200150,"BISTRO LE CEP",29.7368,-95.5728,5,1,1,1,1,1,FRENCH,999
200184,"SHIPLEY DONUTS",29.8379,-95.3428,5,1,1,1,1,1,,999
200187,"SMOOTHIE KING",29.6858,-95.4611,5,1,1,1,1,1,"BEVERAGES, ETC.",999
200190,SHOP-N-GO,29.8002,-95.3611,5,1,1,1,1,1,,999
200202,"OUR STORE",29.9682,-95.5438,5,1,1,1,1,1,,999
200207,"WAL-MART #2718",29.6769,-95.4588,5,1,1,1,1,1,"BEVERAGES, ETC.",999
200208,"McGOWEN ELEMENTARY",29.8206,-95.3019,5,1,1,1,1,1,,999
200211,"KROGER #346",29.7966,-95.4849,5,3,1,1,1,0,,999
200223,"SUNRISE GROCERY #10",29.7919,-95.5796,5,1,1,1,1,1,"MEXICAN / HISPANIC",999
200231,"LA RUCHE IMPORTS",29.6715,-95.5399,5,1,1,1,1,1,,999
