id,name,date,lat,lng,cuisine,status,score,site,weight,rats,bugs,slime,condemned
200077,"THE VOLCANO","2014-02-17 00:00:00",29.7255,-95.4147,,PASS,1,BAR,4,0,0,0,0
200078,"HOBBIT CAFE'","2014-01-29 00:00:00",29.7342,-95.4139,"LOCAL / CONTINENTAL",PASS,1,KITCHEN,4,0,0,0,0
200104,"SUBWAY SANDWICHES","2014-02-28 00:00:00",29.7704,-95.4109,,PASS,1,Kitchen,2,0,0,0,0
200105,"RUGGLES CAFE & BAKERY","2014-02-01 00:00:00",29.7175,-95.4143,"BAR & GRILL",PASS,1,"TOTAL ESTABLISHMENT",2,0,0,0,0
200106,"COURTESY FOOD STORE","2014-03-13 00:00:00",29.8196,-95.4996,CHICKEN,FAIL,4,STORE/DELI,20,0,0,0,0
200114,"TEXAS LAND & CATTLE CO.","2014-04-09 00:00:00",29.6071,-95.2098,"BAR & GRILL",FAIL,3,"TOTAL ESTABLISHMENT",11,0,0,0,0
200115,CHICK-FIL-A,"2013-10-07 00:00:00",29.6891,-95.4651,CHICKEN,PASS,1,"TOTAL ESTABLISHMENT",1,0,0,0,0
200121,"FOGO DE CHAO","2013-12-23 00:00:00",29.7375,-95.5119,,PASS,2,Establishment,5,0,0,0,0
200123,"LARRY'S BAR B Q","2014-04-11 00:00:00",29.8603,-95.5269,BARBECUE,FAIL,3,"TOTAL SITES",9,0,0,0,0
200127,"CHILI'S GRILL & BAR","2013-11-06 00:00:00",29.7377,-95.4901,"BAR & GRILL",PASS,2,"TOTAL SITES",6,0,0,1,0
200141,"SHIPLEY DONUT","2013-10-15 00:00:00",29.8452,-95.3845,,PASS,2,FACILITY,7,0,0,0,0
200142,"OSTIONERIA LAS ROCAS","2013-11-20 00:00:00",29.8661,-95.3848,SEAFOOD,FAIL,3,"TOTAL ESTABLISHMENT",9,0,0,0,0
200143,KOJAK'S,"2013-10-23 00:00:00",29.8015,-95.4338,DELI,PASS,2,ESTABLISHMENT,8,0,0,0,0
200146,"RICHARDS GROCERY STORE","2013-08-13 00:00:00",29.7822,-95.4755,,PASS,4,Store,24,0,0,1,0
200147,"KINGSPOINT MART","2013-07-10 00:00:00",29.6184,-95.2302,OTHER,PASS,1,STORE,4,0,0,0,0
200150,"BISTRO LE CEP","2013-08-08 00:00:00",29.7368,-95.5728,FRENCH,PASS,2,"Total Establishment",7,0,0,0,0
200187,"SMOOTHIE KING","2013-10-17 00:00:00",29.6858,-95.4611,"BEVERAGES, ETC.",PASS,1,"TOTAL ESTABLISHMENT",2,0,0,0,0
200190,SHOP-N-GO,"2014-01-10 00:00:00",29.8002,-95.3611,,PASS,3,Store,9,0,0,0,0
200207,"WAL-MART #2718","2013-09-25 00:00:00",29.6769,-95.4588,"BEVERAGES, ETC.",PASS,1,"TOTAL ESTABLISHMENT",1,0,0,0,0
200208,"McGOWEN ELEMENTARY","2013-10-16 00:00:00",29.8206,-95.3019,,PASS,1,Kitchen,1,0,0,0,0
200223,"SUNRISE GROCERY #10","2014-02-18 00:00:00",29.7919,-95.5796,"MEXICAN / HISPANIC",FAIL,3,"TOTAL SITES",12,0,0,0,0
200231,"LA RUCHE IMPORTS","2013-10-29 00:00:00",29.6715,-95.5399,,FAIL,5,0,34,0,0,0,0
200236,"TEXAS LAND & CATTLE STEAKHOUSE","2014-01-16 00:00:00",29.7843,-95.6048,"BAR & GRILL",PASS,1,Kitchen,3,0,0,0,0
200245,"TAN TAN KITCHEN","2013-11-05 00:00:00",29.7064,-95.5453,CHINESE,PASS,1,KITCHEN,1,0,0,0,0
200250,"CH BURGERS","2013-07-15 00:00:00",29.744,-95.4708,"BURGERS, ETC.",PASS,3,KITCHEN,12,0,0,0,0
200251,"KROGER #363","2013-11-07 00:00:00",29.7371,-95.5458,,PASS,1,"Total Establishment",3,0,0,0,0
200259,"FAMILY DOLLAR #3777","2014-02-15 00:00:00",29.7036,-95.6021,,PASS,1,0,4,0,0,0,0
200261,"SMALL STEPS NURTURING CENTER","2013-09-09 00:00:00",29.778,-95.375,,PASS,1,Kitchen,2,0,0,0,0
200265,"HONG KONG FOOD MARKET","2013-08-23 00:00:00",29.7037,-95.5793,,PASS,1,Warehouse,1,0,0,0,0
200270,"SMOOTHIE KING","2014-04-08 00:00:00",29.7378,-95.4884,"BEVERAGES, ETC.",PASS,1,Kitchen,3,1,0,0,0
200291,"TAN BINH MARKET","2014-04-08 00:00:00",29.7039,-95.5808,,PASS,1,"TOTAL ESTABLISHMENT",3,0,0,0,0
200294,"PHO DANH RESTAURANT","2014-02-22 00:00:00",29.7037,-95.5794,VIETNAMESE,FAIL,3,"TOTAL ESTABLISHMENT",9,0,0,0,0
200404,"AMC THEATERS WILLOWBROOK 24","2013-12-11 00:00:00",29.9538,-95.5394,"MEXICAN / HISPANIC",PASS,1,MACGUFFINS,1,0,0,0,0
200414,"SALTGRASS STEAK HOUSE #15","2013-08-17 00:00:00",29.9553,-95.5415,"BAR & GRILL",PASS,1,ESTABLISHMENT,3,0,0,0,0
200422,"WALGREENS #5671","2014-02-05 00:00:00",30.0498,-95.185,,PASS,1,0,1,0,0,0,0
200431,"BABIN'S SEAFOOD","2014-02-17 00:00:00",29.9562,-95.5428,SEAFOOD,PASS,1,"TOTAL ESTABLISHMENT",2,0,0,0,0
200554,"K Q FOOD STORE","2013-11-01 00:00:00",29.7971,-95.5266,,PASS,1,0,1,0,0,0,0
200569,"CAFE CASPIAN","2014-02-28 00:00:00",29.7364,-95.5944,"MIDDLE EASTERN",PASS,2,ESTABLISHMENT,5,0,0,0,0
200578,"JOANN'S CAFE","2014-03-25 00:00:00",29.784,-95.5603,,PASS,1,Kitchen,2,0,0,0,0
200591,"PANADERIA TOTOPAN","2013-10-25 00:00:00",29.7289,-95.5298,,PASS,1,"TOTAL ESTABLISHMENT",3,0,0,0,0
200592,"HOKKAIDO JAPANESE KITCHEN","2013-10-25 00:00:00",29.705,-95.544,JAPANESE,PASS,1,KITCHEN,4,0,0,0,0
200608,"BEST WESTERN","2013-09-04 00:00:00",29.9827,-95.2804,,PASS,1,Kitchen,1,0,0,0,0
200609,"FAMILY DOLLAR #2690","2014-02-02 00:00:00",29.7238,-95.3784,,PASS,1,Store,1,0,0,0,0
200638,"THE HARP","2013-12-11 00:00:00",29.7343,-95.4007,,PASS,1,0,2,0,0,0,0
200644,"THE NEUROPSYCHIATRIC CENTER","2013-08-02 00:00:00",29.7117,-95.3943,,PASS,1,ESTABLISHMENT,2,0,0,0,0
200649,"PAUL'S SNACK SHOP","2014-02-03 00:00:00",29.7595,-95.3598,SANDWICHES,PASS,2,"TOTAL ESTABLISHMENT",8,0,0,0,0
200656,"THIRD BASE","2013-10-23 00:00:00",29.5568,-95.1239,,PASS,1,0,4,0,0,0,0
200658,"CROWN MART","2014-03-08 00:00:00",29.6877,-95.3248,"BEVERAGES, ETC.",FAIL,5,"TOTAL ESTABLISHMENT",32,0,0,0,0
200672,"MUHAMMAD UNIVERSITY OF ISLAM","2014-03-06 00:00:00",29.7052,-95.3459,,PASS,1,"TOTAL ESTABLISHMENT",3,0,0,0,0
200676,"SUNNYSIDE ADULT DAY CARE","2013-10-17 00:00:00",29.6837,-95.3919,,PASS,1,KITCHEN,4,0,0,0,0
200992,"REFRESQUERIA RIO VERDE-CAMPANA","2013-11-06 00:00:00",29.803,-95.4936,,PASS,1,"8315 LONG POINT",3,0,0,0,0
201161,"BEST BUY FOOD MART #2","2014-03-12 00:00:00",29.7724,-95.3012,,PASS,1,Store,2,0,0,0,0
201172,"HANDI PLUS #27( Shell Gosohhe)","2013-10-29 00:00:00",29.8436,-95.3429,,PASS,1,"TOTAL ESTABLISHMENT",2,0,0,0,0
201187,"EDWARDS MARQ-E THEATRE","2014-03-13 00:00:00",29.7848,-95.4661,"LOCAL / CONTINENTAL",PASS,1,Establishment,3,0,0,0,0
201191,VIETOPIA,"2013-07-29 00:00:00",29.7277,-95.4279,VIETNAMESE,FAIL,3,"TOTAL ESTABLISHMENT",11,0,0,0,0
201203,"LA PREFERIDA","2013-12-13 00:00:00",29.7185,-95.489,,FAIL,4,Establishment,19,0,0,0,0
201213,"LA MORENITA","2013-08-19 00:00:00",29.8431,-95.2617,"MEXICAN / HISPANIC",PASS,2,"TOTAL ESTABLISHMENT",8,0,0,0,0
202069,"STARBUCKS COFFEE #6332","2014-04-02 00:00:00",29.7557,-95.3627,"BEVERAGES, ETC.",PASS,1,Kitchen,4,0,0,0,0
202089,"NIXON HOME CARE ADULT DAY CARE","2014-04-11 00:00:00",29.8205,-95.3336,,PASS,1,Kitchen,4,0,0,0,0
202092,"SHELL FOOD MART","2013-08-30 00:00:00",29.8319,-95.5694,"BAR & GRILL",PASS,2,"TOTAL SITES",7,0,0,0,0
202105,"SOUTHWEST KEY PROGRAM","2013-07-16 00:00:00",29.8346,-95.262,,PASS,1,KITCHEN,1,0,0,0,0
202106,"TREASURE TOWN ACADEMY","2013-12-10 00:00:00",29.8776,-95.3001,,PASS,1,"Total Establishment",3,0,0,0,0
202112,"VALERO - AMIGO MART","2013-12-02 00:00:00",29.7724,-95.2839,,PASS,2,"Total Establishment",5,0,0,0,0
202125,"LA CAMPESINA MEAT MARKET #1","2013-08-21 00:00:00",29.7749,-95.2177,,FAIL,3,Establishment,12,0,0,0,0
202126,"MO MO CLUB","2013-07-23 00:00:00",29.7942,-95.5411,,PASS,1,"kitchen /bar",3,0,0,0,0
202284,"ALONTI CAFE # 48","2014-02-19 00:00:00",29.7601,-95.3638,DELI,FAIL,3,kitchen,9,0,0,0,0
202291,"CONOCO FOOD MART","2014-04-03 00:00:00",29.715,-95.2784,,PASS,1,"Total Establishment",2,0,0,0,0
202293,"SHERLOCK'S PUB","2013-08-14 00:00:00",29.5742,-95.1084,,PASS,1,"TOTAL ESTABLISHMENT",3,0,0,0,0
202296,"HERMANN PARK GOLF COURSE C.H.","2013-08-20 00:00:00",29.7138,-95.3822,DELI,PASS,1,kitchen,2,0,0,0,0
202315,"HARTMAN MIDDLE SCHOOL PTO","2013-11-20 00:00:00",29.6727,-95.3011,,PASS,1,"P.T.O CONCESSION",1,0,0,0,0
202338,"SUBWAY #4279","2013-10-16 00:00:00",29.7557,-95.3627,DELI,PASS,1,Kitchen,4,0,0,0,0
202345,"LA MORELIANA #7 CARNICERIA","2014-02-15 00:00:00",29.6922,-95.2776,,PASS,2,"TOTAL ESTABLISHMENT",8,0,0,0,0
202448,"CRAWFISH & BEIGNETS","2013-07-17 00:00:00",29.7038,-95.5758,SEAFOOD,PASS,2,Kitchen,6,0,0,0,0
